id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin
76,2008-10-03,Flash of Genius,20000000,4442377,4504111,-15495889,-0.03440387903406466,-3.5020942616981854
4,2016-08-26,Greater,9000000,2000093,2000093,-6999907,-0.03499790759729672,-3.4997907597296725
18,2016-02-26,Gods of Egypt,140000000,31153464,138836756,-1163244,-8.378501727597266e-05,-3.493882285449862
75,2008-10-24,Passchendaele,20000000,4452423,4453327,-15546673,-0.03491024351007685,-3.491936188452894
34,2017-08-25,Birth of the Dragon,31000000,6901965,7220490,-23779510,-0.032933374327781074,-3.491474529355046
11,2017-05-12,King Arthur: Legend of the Sword,175000000,39175066,139630336,-35369664,-0.002533093095185275,-3.4671271262184984
40,2010-06-18,Jonah Hex,47000000,10547117,11022696,-35977304,-0.032639296230250754,-3.4561940480986415
99,2005-09-02,Underclassman,25000000,5654777,5654777,-19345223,-0.03421040829726796,-3.421040829726796
63,2001-02-02,Left Behind,18500000,4221341,4221341,-14278659,-0.03382493619918409,-3.3824936199184097
36,2008-12-05,Punisher: War Zone,35000000,8050977,10157534,-24842466,-0.02445718222552836,-3.3472984707321856
87,2002-09-20,Trapped,30000000,6916869,6916869,-23083131,-0.03337222520767705,-3.3372225207677055
21,2005-07-29,Stealth,138000000,32116746,76416746,-61583254,-0.008058868929069552,-3.296823843860147
45,2013-11-15,The Christmas Candle,7000000,1632000,1933829,-5066171,-0.026197616231838493,-3.2892156862745097
40,2003-02-21,Gods and Generals,55000000,12882934,12923936,-42076064,-0.03255669480257408,-3.2692138297068043
24,2001-07-11,Final Fantasy: The Spirits Within,137000000,32131830,85131830,-51868170,-0.0060926882459827305,-3.263684950405875
26,2007-01-26,Blood and Chocolate,15000000,3526588,6551310,-8448690,-0.012896184121954235,-3.2534030059649726
98,2001-03-02,The Widow of St. Pierre,13000000,3058380,3058380,-9941620,-0.032506163393692084,-3.2506163393692087
74,2016-08-26,Hands of Stone,20000000,4712792,5031975,-14968025,-0.029745825446271093,-3.243768874162068
69,2009-02-06,Polytechnique,6000000,1418304,1418304,-4581696,-0.032304047651279276,-3.2304047651279273
97,2010-03-26,Chloe,13000000,3075255,11831131,-1168869,-0.0009879604916892561,-3.227291720523989
76,2011-08-19,Conan the Barbarian,90000000,21295021,63356133,-26643867,-0.004205412442075655,-3.2263400444639148
44,2007-02-02,Factory Girl,7000000,1661464,1661464,-5338536,-0.03213151774579528,-3.2131517745795275
35,2013-11-29,Mandela: Long Walk to Freedom,35000000,8323085,29890402,-5109598,-0.0017094443895401606,-3.205171519935216
97,2019-03-15,Captive State,25000000,5958315,8993300,-16006700,-0.01779847219596811,-3.1958171060106757
18,2018-12-21,Welcome to Marwen,45000000,10763520,12874922,-32125078,-0.02495166805670745,-3.1807884409561185
18,2003-09-26,Duplex,40000000,9652000,10070651,-29929349,-0.029719378618125084,-3.144218814753419
1,2003-11-26,Timeline,80000000,19480739,26703184,-53296816,-0.019958974180756872,-3.106620390530359
35,2004-04-09,The Alamo,92000000,22406362,23911362,-68088638,-0.02847543272524584,-3.105976686442895
96,2007-08-24,Resurrecting the Champ,13000000,3172382,3260555,-9739445,-0.02987051284213884,-3.0978671547121372
100,2009-12-18,Nine,80000000,19676965,53508858,-26491142,-0.004950795623408745,-3.065667647424285
78,2015-10-30,Our Brand is Crisis,28000000,7002261,8594558,-19405442,-0.022578755068032582,-2.9987084171812506
86,2011-01-14,Barney's Version,30000000,7502560,8845575,-21154425,-0.023915262716103815,-2.998635132541426
1,2015-12-11,In the Heart of the Sea,100000000,25020758,89693309,-10306691,-0.0011491036639087538,-2.996681475437315
73,2004-10-29,Birth,20000000,5005899,14603001,-5396999,-0.003695814990357119,-2.995286361151114
1,2010-12-17,How Do You Know?,120000000,30212620,49628177,-70371823,-0.014179812206279509,-2.9718501738677414
78,2011-09-09,Bucky Larson: Born to Be a Star,10000000,2529395,2529395,-7470605,-0.029535145756198616,-2.9535145756198617
35,2001-02-23,3000 Miles to Graceland,62000000,15738632,18708848,-43291152,-0.02313940013837303,-2.939351272715443
61,2004-12-17,Beyond the Sea,24000000,6144806,8292914,-15707086,-0.018940370055688507,-2.9057376262163523
28,2009-08-26,Taking Woodstock,29000000,7460204,10066366,-18933634,-0.018808807468355514,-2.8872931624926075
17,2009-09-25,Pandorum,40000000,10330853,17033431,-22966569,-0.013483231299671805,-2.8718971221447056
55,2013-07-19,R.I.P.D.,130000000,33618855,79076678,-50923322,-0.006439739666352702,-2.8668776792070996
52,2006-04-28,The Lost City,9600000,2484186,5256839,-4343161,-0.008261925084637365,-2.864444932867346
72,2005-01-28,Alone in the Dark,20000000,5178569,10588079,-9411921,-0.008889167713992311,-2.8620707766952607
71,2009-08-14,Bandslam,20000000,5210988,12967829,-7032171,-0.005422782024655014,-2.838043764445437
88,2008-10-10,The Express,37500000,9793406,9813309,-27686691,-0.028213409972110325,-2.829107054277133
99,2003-11-14,Looney Tunes: Back in Action,80000000,20950820,54540662,-25459338,-0.004667955442124996,-2.8184662939207152
84,2017-02-03,The Space Between Us,30000000,7885294,16481405,-13518595,-0.008202331658010951,-2.8045505976061262
10,2006-01-27,Tristram Shandy: A Cock and Bull Story,4750000,1253413,3061763,-1688237,-0.005513937558197679,-2.7896527321800555
50,2018-06-01,Action Point,19000000,5059608,5103675,-13896325,-0.027228075847306105,-2.755231630592726
89,2004-06-25,Two Brothers,72000000,19176754,62176754,-9823246,-0.0015798904523063395,-2.75454573803262
22,2011-09-23,Red State,4000000,1065429,1983596,-2016404,-0.010165396582771895,-2.7543562264590133
15,2015-03-20,The Gunman,40000000,10664749,18594227,-21405773,-0.011512053176504729,-2.750674300914161
81,2017-01-13,Monster Trucks,125000000,33370166,61642798,-63357202,-0.0102781191080911,-2.745860898624238
42,2014-01-10,The Legend of Hercules,70000000,18848538,58953319,-11046681,-0.0018738013715563664,-2.7138158938374954
41,2011-10-21,The Mighty Macs,7000000,1891936,1891936,-5108064,-0.02699913739153968,-2.6999137391539674
41,2002-02-08,Rollerball,70000000,18990542,25852508,-44147492,-0.017076676661312705,-2.6860454009158876
40,2002-02-15,Hart's War,70000000,19076815,33076815,-36923185,-0.011162859846088566,-2.6693756269062736
45,2001-09-21,Megiddo: Omega Code 2,22000000,6047691,6047691,-15952309,-0.026377519949349268,-2.6377519949349266
70,2006-07-07,A Scanner Darkly,20000000,5501616,7405084,-12594916,-0.017008471477163528,-2.635295520443448
44,2017-12-08,Just Getting Started,22000000,6069605,6756412,-15243588,-0.02256166142621261,-2.6246180764646136
