id,release_date,movie,production_budget,domestic_gross,profit,profitable,unprofitable,domestic_profit_margin
44,2018-06-15,Incredibles 2,200000000,608581744,408581744,True,False,67.13670727526787
34,2015-06-12,Jurassic World,215000000,652270625,437270625,True,False,67.03822129043448
81,2015-04-01,Woman in Gold,11000000,33307793,22307793,True,False,66.97469568157818
77,2017-01-13,The Bye Bye Man,7400000,22395806,14995806,True,False,66.95809920839643
23,2012-11-02,Flight,31000000,93772375,62772375,True,False,66.94122336135776
9,2014-10-10,Meet the Mormons,2000000,6047363,4047363,True,False,66.9277336253835
68,2012-04-27,Sound of My Voice,135000,408015,273015,True,False,66.91298114039925
33,2019-03-29,Unplanned,6000000,18107621,12107621,True,False,66.86478030438123
60,2014-09-19,The Maze Runner,34000000,102427862,68427862,True,False,66.80590677563883
88,2015-12-25,Daddyâs Home,50000000,150357137,100357137,True,False,66.74584193499243
62,2014-07-02,Earth to Echo,13000000,38934842,25934842,True,False,66.6108828693847
84,2018-07-27,Teen Titans Go! To The Movies,10000000,29790236,19790236,True,False,66.43195441620536
85,2016-09-09,When the Bough Breaks,10000000,29747603,19747603,True,False,66.38384612030758
91,2015-11-25,Creed,37000000,109767581,72767581,True,False,66.29241560857572
11,2017-10-06,The Florida Project,2000000,5904366,3904366,True,False,66.12676111203133
15,2018-05-18,Deadpool 2,110000000,324591735,214591735,True,False,66.1112751376741
57,2015-12-18,Sisters,30000000,87044645,57044645,True,False,65.53492750760257
12,2017-08-25,All Saints,2000000,5802208,3802208,True,False,65.53036361330031
88,2013-08-30,One Direction: This is Us,10000000,28873374,18873374,True,False,65.36601506980098
85,2019-01-11,The Upside,37500000,108235497,70735497,True,False,65.35332581324961
60,2018-04-06,Blockers,21000000,60311495,39311495,True,False,65.18076694998193
26,2013-02-22,Snitch,15000000,42930462,27930462,True,False,65.05977503806038
28,2015-12-04,Krampus,15000000,42725475,27725475,True,False,64.8921398767363
33,2012-05-25,Moonrise Kingdom,16000000,45512466,29512466,True,False,64.84479658825782
18,2013-10-18,12 Years a Slave,20000000,56671993,36671993,True,False,64.70919948059705
3,2013-03-15,Spring Breakers,5000000,14124286,9124286,True,False,64.59998048750924
20,2016-06-03,Me Before You,20000000,56245075,36245075,True,False,64.44133108543282
73,2012-11-09,Lincoln,65000000,182207973,117207973,True,False,64.32647873208052
73,2015-01-16,The Wedding Ringer,23000000,64460211,41460211,True,False,64.31907428909905
4,2017-06-09,It Comes at Night,5000000,13985117,8985117,True,False,64.24770704456745
91,2015-08-21,Sinister 2,10000000,27740955,17740955,True,False,63.95221433436592
27,2012-05-04,The Avengers,225000000,623279547,398279547,True,False,63.90062836443436
55,2017-06-02,Wonder Woman,150000000,412563408,262563408,True,False,63.64195246321991
36,2014-10-03,Gone Girl,61000000,167767189,106767189,True,False,63.64008936216962
22,2013-08-02,The Spectacular Now,2500000,6852971,4352971,True,False,63.5194720654735
29,2012-09-21,End of Watch,15000000,41003371,26003371,True,False,63.41764192997693
21,2019-02-08,What Men Want,20000000,54611903,34611903,True,False,63.37794711163974
83,2017-12-08,"I, Tonya",11000000,30014534,19014534,True,False,63.351088509320185
11,2014-02-28,Son of God,22000000,59700064,37700064,True,False,63.14911823210105
36,2014-06-20,Think Like a Man Too,24000000,65028687,41028687,True,False,63.09321146219668
99,2013-05-24,Before Midnight,3000000,8110621,5110621,True,False,63.01146361049296
22,2016-04-15,Barbershop: The Next Cut,20000000,54030051,34030051,True,False,62.98356261037029
62,2014-11-21,The Hunger Games: Mockingjay - Part 1,125000000,337135885,212135885,True,False,62.92296205727255
98,2016-05-13,The Darkness,4000000,10753574,6753574,True,False,62.80306435795207
24,2018-09-14,A Simple Favor,20000000,53548586,33548586,True,False,62.65074114188561
56,2013-11-22,Frozen,150000000,400738009,250738009,True,False,62.56906092478989
16,2018-09-28,Night School,29000000,77339130,48339130,True,False,62.502810672941365
68,2015-07-24,Paper Towns,12000000,32000304,20000304,True,False,62.50035624661566
85,2012-01-13,Contraband,25000000,66528000,41528000,True,False,62.421837421837424
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,332177324,True,False,62.41854153109312
92,2016-01-08,The Forest,10000000,26594261,16594261,True,False,62.39790231433767
8,2016-07-15,Hillaryâs America: The Secret History of the Democratic Party,5000000,13099931,8099931,True,False,61.831860030407796
80,2015-02-20,"McFarland, USA",17000000,44480275,27480275,True,False,61.78081183176138
61,2019-04-05,Pet Sematary,21000000,54724696,33724696,True,False,61.62610021625338
25,2015-01-09,Selma,20000000,52076908,32076908,True,False,61.595262145747974
77,2018-07-13,Hotel Transylvania 3: Summer Vacation,65000000,167500092,102500092,True,False,61.19405116505846
