id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin,cost_revenue_ratio_in_%
35,2017-05-12,Lowriders,916000,6179955,6188421,5272421,0.8519816282699577,0.8517788559949061,674.6675764192139
94,2003-03-07,Bringing Down the House,20000000,132675402,164675402,144675402,0.8785489529274082,0.8492561567667231,663.3770099999999
95,2017-11-17,Wonder,20000000,132422809,304604712,284604712,0.9343411338955255,0.848968616879287,662.114045
71,2006-09-22,Jackass: Number Two,11000000,72778712,85278712,74278712,0.8710111850657407,0.8488569020017832,661.6246545454546
91,2019-03-15,Five Feet Apart,7000000,45729221,80504421,73504421,0.9130482535859739,0.8469250110339732,653.2745857142858
70,2014-01-03,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,85904854,0.9449974365505278,0.8459755189793278,649.24744
80,2002-08-02,Martin Lawrence Live: RunTelDat,3000000,19184820,19184820,16184820,0.8436263670964856,0.8436263670964856,639.494
97,2012-03-09,Silent House,2000000,12739737,16610760,14610760,0.8795961172155882,0.843010887901375,636.98685
14,2015-05-15,Pitch Perfect 2,29000000,184296230,287625468,258625468,0.8991744361107827,0.8426446379288388,635.5042413793104
85,2014-07-11,Boyhood,4000000,25379975,57273049,53273049,0.9301591224870882,0.8423954318315916,634.4993750000001
47,2007-10-26,Saw IV,10000000,63300095,135759694,125759694,0.9263404350336852,0.8420223539948873,633.00095
48,2006-02-24,Madea's Family Reunion,10000000,63257940,63320521,53320521,0.842073314589436,0.8419170779193884,632.5794
49,2002-09-13,Barbershop,12000000,75781642,77063461,65063461,0.8442841802809764,0.8416503036447798,631.5136833333333
93,2004-05-19,Shrek 2,70000000,441226247,937008132,867008132,0.9252941382156543,0.8413512331237176,630.32321
59,2012-11-16,Silver Linings Playbook,21000000,132092958,236412453,215412453,0.9111721919318692,0.8410210482227221,629.0140857142857
56,2016-02-12,Deadpool,58000000,363070709,801025593,743025593,0.9275928253643201,0.8402515031858436,625.9839810344827
36,2006-06-16,Wordplay,500000,3121270,3177636,2677636,0.8426503224409594,0.8398087957786414,624.254
6,2014-11-28,The Imitation Game,15000000,91125143,227740463,212740463,0.9341355514852009,0.8353912048181916,607.5009533333333
57,2014-12-25,American Sniper,58000000,350126372,547326372,489326372,0.894030320906956,0.8343455259634084,603.6661586206897
33,2012-10-19,The Sessions,1000000,6002451,11495204,10495204,0.9130071984803402,0.8334013888659816,600.2451
5,2018-10-05,A Star is Born,36000000,215288866,433449571,397449571,0.9169453555647885,0.8327828063342579,598.0246277777778
30,2005-12-09,Brokeback Mountain,13900000,83043761,176980863,163080863,0.9214604349623949,0.8326183709333685,597.4371294964029
82,2009-11-20,The Twilight Saga: New Moon,50000000,296623634,687557727,637557727,0.9272788334178667,0.8314362233186045,593.247268
65,2008-12-12,Gran Torino,25000000,148095302,274543085,249543085,0.9089396114274741,0.8311897834544407,592.381208
98,2010-10-15,Jackass 3D,20000000,117229692,171685793,151685793,0.8835081246355659,0.8293947577717768,586.14846
73,2008-05-30,The Strangers,9000000,52597610,83051676,74051676,0.8916337341584775,0.8288895636132516,584.4178888888889
52,2012-02-24,Act of Valor,12000000,70012847,82497035,70497035,0.8545402268093635,0.828602884839121,583.4403916666668
38,2018-08-15,Crazy Rich Asians,30000000,174532921,238099711,208099711,0.874002367016733,0.8281126573249754,581.7764033333333
8,2003-03-12,Bend it Like Beckham,5600000,32543449,74566042,68966042,0.9248987897198566,0.8279223569696008,581.1330178571428
66,2009-01-30,Taken,25000000,145000989,226941585,201941585,0.8898394932775323,0.8275873828695058,580.003956
35,2015-08-14,Straight Outta Compton,28000000,161197785,202182981,174182981,0.8615115878620861,0.8263003427745611,575.706375
39,2002-12-27,Chicago,30000000,170687518,306770545,276770545,0.9022070388146293,0.8242402235879954,568.9583933333333
84,2001-04-06,Pokemon 3: The Movie,3000000,17052128,68452128,65452128,0.95617375109215,0.8240688786760222,568.4042666666667
67,2001-08-10,The Others,17000000,96522687,207765056,190765056,0.9181768083271905,0.823875603463049,567.7805117647058
99,2016-07-29,Bad Moms,20000000,113257297,180998716,160998716,0.8895019785665219,0.8234109366039347,566.286485
60,2015-03-20,Do You Believe?,2300000,12985600,14304931,12004931,0.8392162814347024,0.8228807294233612,564.5913043478262
99,2007-02-09,Das Leben der Anderen,2000000,11284657,81197047,79197047,0.9753685623567074,0.8227682064239967,564.23285
69,2003-06-27,28 Days Laterâ¦,8000000,45064915,82955633,74955633,0.9035629081391013,0.8224783071265085,563.3114375
20,2009-01-16,Paul Blart: Mall Cop,26000000,146336178,185904750,159904750,0.8601434336669718,0.8223269163145699,562.8314538461539
48,2011-02-11,Justin Bieber: Never Say Never,13000000,73013910,99034125,86034125,0.8687321163285888,0.8219517349502307,561.6454615384615
30,2016-11-18,Manchester by the Sea,8500000,47695371,77733867,69233867,0.8906525517378416,0.821785640371683,561.1220117647059
49,2005-01-07,White Noise,10000000,56094360,92094360,82094360,0.8914157175314537,0.8217289581341154,560.9436
100,2019-01-18,Glass,20000000,111035005,245303505,225303505,0.9184683480164706,0.819876623592713,555.175025
21,2015-06-19,The Overnight,200000,1109808,1165996,965996,0.8284728249496567,0.8197886481265227,554.904
