id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,domestic_profit_margin,worldwide_profit_margin,Distributor,genre1,genre2,genre3,release_month,budget_tier
9,2013-01-18,Mama,15000000,71628180,148095566,56628180,79.05852138083084,89.87140506286326,Universal Pictures,Drama,,,Jan,mid_tier
32,2017-02-03,I Am Not Your Negro,1000000,7123919,9617402,6123919,85.96278256392303,89.6021815454943,Magnolia Pictures,Documentary,,,Feb,low_tier
25,2016-06-24,Hunt for the Wilderpeople,2500000,5205471,23845533,2705471,51.97360623082906,89.51585607249794,The Orchard,Adventure,Comedy,Drama,Jun,low_tier
70,2018-03-23,Unsane,1500000,7690044,14244931,6190044,80.49425985078888,89.4699384644264,Bleecker Street Media,Drama,Horror,Mystery,Mar,low_tier
45,2012-04-20,Think Like a Man,12000000,91547205,113373764,79547205,86.89200833602729,89.41554061837445,Screen Gems,Comedy,Romance,,Apr,mid_tier
57,2014-12-25,American Sniper,58000000,350126372,547326372,292126372,83.43455259634084,89.4030320906956,Warner Bros.,Action,Biography,Drama,Dec,high_tier
86,2015-07-17,Bajrangi Bhaijaan,13000000,8178001,121778347,-4821999,-58.963052217773026,89.32486741670094,Eros Worldwide,Action,Comedy,Drama,Jul,mid_tier
64,2016-12-25,Hidden Figures,25000000,169607287,231771716,144607287,85.26006727529342,89.21352422484546,Twentieth Century Fox,Biography,Drama,History,Dec,mid_tier
14,2012-07-13,Ice Age Continental Drift,95000000,161321843,879765137,66321843,41.11150837769688,89.2016634889682,Twentieth Century Fox,Adventure,Animation,Comedy,Jul,high_tier
30,2016-11-18,Manchester by the Sea,8500000,47695371,77733867,39195371,82.1785640371683,89.06525517378417,Roadside Attractions,Drama,,,Nov,mid_tier
62,2016-01-22,Dirty Grandpa,11500000,35593113,105078449,24093113,67.69037875388983,89.05579582736323,Lionsgate,Comedy,,,Jan,mid_tier
54,2016-06-24,The Shallows,13000000,55121623,118763442,42121623,76.4157887731281,89.05387063470256,Sony Pictures Entertainment (SPE),Drama,Horror,Thriller,Jun,mid_tier
43,2018-05-18,Book Club,10000000,68566296,91113683,58566296,85.4155750224571,89.02470005520466,Paramount Pictures,Comedy,Drama,Romance,May,mid_tier
75,2016-10-21,Ouija Origin of Evil,9000000,35144505,81831866,26144505,74.39144469384333,89.0018394545714,Universal Pictures,Drama,Horror,Mystery,Oct,mid_tier
18,2013-10-18,12 Years a Slave,20000000,56671993,181025343,36671993,64.70919948059705,88.95182317096894,Fox Searchlight Pictures,Biography,Drama,History,Oct,mid_tier
99,2016-07-29,Bad Moms,20000000,113257297,180998716,93257297,82.34109366039347,88.9501978566522,STX Entertainment,Comedy,,,Jul,mid_tier
73,2015-03-06,The Second Best Exotic Marigold Hotel,10000000,33078266,90384306,23078266,69.76866925249347,88.93613234138236,Fox Searchlight Pictures,Comedy,Drama,,Mar,mid_tier
72,2014-04-11,Oculus,5000000,27695246,44115496,22695246,81.94636003594263,88.66611405661176,Relativity Media,Horror,Mystery,,Apr,low_tier
55,2017-04-28,Baahubali 2 The Conclusion,30000000,18985794,263502914,-11014206,-58.01288057797319,88.61492666453017,Great India Films,Action,Drama,,Apr,mid_tier
91,2014-06-27,Begin Again,8000000,16170632,68838736,8170632,50.52759842657974,88.37863612138375,The Weinstein Company,Drama,Family,,Jun,mid_tier
18,2012-02-03,The Woman in Black,15000000,54333290,128955898,39333290,72.39261601865081,88.36811636176579,CBS Films,Drama,Fantasy,Horror,Feb,mid_tier
100,2016-04-08,Hardcore Henry,2000000,9252038,17187434,7252038,78.38314109820993,88.36359167982842,STX Entertainment,Action,Adventure,Sci-Fi,Apr,low_tier
58,2012-03-02,Project X,12000000,54731865,103028188,42731865,78.07492947664034,88.3527020779983,Warner Bros.,Comedy,,,Mar,mid_tier
74,2015-08-26,No Escape,5000000,27288872,42844516,22288872,81.67751309031755,88.32989500920024,The Weinstein Company,Documentary,Music,,Aug,low_tier
19,2018-05-11,Breaking In,6000000,46840590,51411620,40840590,87.19059687335279,88.32948660244513,Universal Pictures,Action,Crime,Drama,May,mid_tier
66,2015-07-01,Magic Mike XXL,14500000,66013057,123660597,51513057,78.03464850900633,88.27435710988844,Warner Bros.,Comedy,Drama,Music,Jul,mid_tier
56,2013-11-22,Frozen,150000000,400738009,1272469910,250738009,62.56906092478989,88.21190200088897,Walt Disney Studios Motion Pictures,Fantasy,Romance,,Nov,high_tier
38,2012-03-23,The Hunger Games,80000000,408010692,677923379,328010692,80.39267069011025,88.1992563646341,Lionsgate,Action,Adventure,Sci-Fi,Mar,high_tier
29,2016-12-21,Sing,75000000,270329045,634454789,195329045,72.25603338331624,88.17882671857332,Universal Pictures,Animation,Comedy,Family,Dec,high_tier
54,2012-10-05,Taken 2,45000000,139854287,377807404,94854287,67.8236534858599,88.08916936948118,Twentieth Century Fox,Action,Thriller,,Oct,mid_tier
84,2014-08-29,As Above So Below,5000000,21222315,41824066,16222315,76.43989357428725,88.0451604107549,Universal Pictures,Documentary,,,Aug,low_tier
92,2015-01-16,Still Alice,5000000,18656400,41699612,13656400,73.19954546429108,88.00948075967709,Sony Pictures Classics,Drama,,,Jan,low_tier
97,2012-03-09,Silent House,2000000,12739737,16610760,10739737,84.3010887901375,87.9596117215588,Open Road Films (II),Drama,Horror,Mystery,Mar,low_tier
65,2013-11-22,Philomena,12000000,37709979,98963392,25709979,68.1781843474376,87.87430406589135,The Weinstein Company,Biography,Comedy,Drama,Nov,mid_tier
35,2014-11-07,The Theory of Everything,15000000,35893537,123327692,20893537,58.20974678533353,87.8372815085196,Focus Features,Biography,Drama,Romance,Nov,mid_tier
77,2018-07-13,Hotel Transylvania 3 Summer Vacation,65000000,167500092,527079962,102500092,61.19405116505846,87.66790531111103,Sony Pictures Entertainment (SPE),Adventure,Animation,Comedy,Jul,high_tier
67,2015-04-03,Furious 7,190000000,353007020,1518722794,163007020,46.176707760655866,87.48948782815201,Universal Pictures,Action,Crime,Thriller,Apr,high_tier
18,2012-09-14,Barfi,4600000,2804874,36751984,-1795126,-64.00023673077649,87.48366890886761,UTV Motion Pictures,Comedy,Drama,Romance,Sep,low_tier
38,2018-08-15,Crazy Rich Asians,30000000,174532921,238099711,144532921,82.81126573249755,87.40023670167328,Warner Bros.,Comedy,Romance,,Aug,mid_tier
97,2013-02-22,Dark Skies,3500000,17418667,27704111,13918667,79.9066139791294,87.36649589658373,,Horror,Sci-Fi,Thriller,Feb,low_tier
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,344014165,68.25486045615405,87.29351672831473,Walt Disney Studios Motion Pictures,Drama,Fantasy,Romance,Mar,high_tier
53,2017-11-03,Lady Bird,10000000,48958273,78610769,38958273,79.57444291386668,87.27909658281044,A24,Comedy,Drama,,Nov,mid_tier
84,2017-01-27,Resident Evil The Final Chapter,40000000,26844692,314101190,-13155308,-49.00524841186481,87.26525041181793,Screen Gems,Action,Horror,Sci-Fi,Jan,mid_tier
7,2015-10-23,Paranormal Activity The Ghost Dimension,10000000,18297124,77959374,8297124,45.346602012425556,87.17280618492396,Paramount Pictures,Horror,Mystery,Thriller,Oct,mid_tier
99,2013-05-24,Before Midnight,3000000,8110621,23251930,5110621,63.01146361049296,87.09784521112871,Sony Pictures Classics,Drama,Romance,,May,low_tier
13,2018-06-22,Jurassic World Fallen Kingdom,170000000,417719760,1305772799,247719760,59.302858931069004,86.9808897742248,Universal Pictures,Action,Adventure,Sci-Fi,Jun,high_tier
76,2015-02-27,The Lazarus Effect,5000000,25801570,38359310,20801570,80.62133428314634,86.96535469485765,Relativity Media,Horror,Mystery,Sci-Fi,Feb,low_tier
34,2015-06-12,Jurassic World,215000000,652270625,1648854864,437270625,67.03822129043448,86.96064737447989,Universal Pictures,Action,Adventure,Sci-Fi,Jun,high_tier
44,2014-02-07,The Lego Movie,60000000,257784718,457729388,197784718,76.72476457661854,86.8918182723282,Warner Bros.,Action,Adventure,Animation,Feb,high_tier
