title,year,Domestic Gross (in millions),Foreign Gross (in millions),Total Gross (in millions)
Hugo,2011,73.9,111.9,185.8
The Lion King (in 3D),2011,94.2,91.3,185.5
Pitch Perfect 3,2017,104.9,80.5,185.4
Hop,2011,108.1,75.9,184.0
Jupiter Ascending,2015,47.4,136.6,184.0
Bad Moms,2016,113.3,70.7,184.0
Storks,2016,72.7,110.7,183.4
The BFG,2016,55.5,127.9,183.4
Mirror Mirror,2012,64.9,118.1,183.0
Daddy's Home 2,2017,104.0,76.6,180.6
The Impossible,2012,19.0,161.3,180.3
The Post,2017,81.9,97.9,179.8
The Dictator,2012,59.7,119.7,179.4
The Divergent Series: Allegiant,2016,66.2,113.1,179.3
Baywatch,2017,58.1,119.8,177.9
Paranormal Activity 2,2010,84.8,92.8,177.6
War Horse,2011,79.9,97.7,177.6
The Descendants,2011,82.6,94.7,177.3
The A-Team,2010,77.2,100.0,177.2
Lee Daniels' The Butler,2013,116.6,60.0,176.6
The Hitman's Bodyguard,2017,75.5,101.1,176.6
Looper,2012,66.5,110.0,176.5
Hacksaw Ridge,2016,67.2,108.1,175.3
The Grand Budapest Hotel,2014,59.3,115.5,174.8
Cowboys & Aliens,2011,100.2,74.6,174.8
Identity Thief,2013,134.5,39.5,174.0
The Nutcracker and the Four Realms,2018,54.9,119.1,174.0
In Time,2011,37.5,136.4,173.9
Creed,2015,109.8,63.8,173.6
The Girl on the Train (2016),2016,75.4,97.8,173.2
Operation Mekong,2016,0.8,172.3,173.1
The Mule,2018,103.8,68.7,172.5
Jackass 3-D,2010,117.2,54.5,171.7
Anchorman 2: The Legend Continues,2013,125.2,46.3,171.5
John Wick: Chapter Two,2017,92.0,79.5,171.5
The Other Guys,2010,119.2,51.2,170.4
Olympus Has Fallen,2013,98.9,71.3,170.2
Zookeeper,2011,80.4,89.5,169.9
Dumb and Dumber To,2014,86.2,83.6,169.8
Ghost in the Shell (2017),2017,40.6,129.199999,169.799999
Fantastic Four,2015,56.1,111.9,168.0
Insidious: The Last Key,2018,67.7,100.1,167.8
Unstoppable,2010,81.6,86.2,167.8
Magic Mike,2012,113.7,53.5,167.2
Bridge of Spies,2015,72.3,93.2,165.5
The Muppets,2011,88.6,76.6,165.2
The Huntsman: Winter's War,2016,48.4,116.6,165.0
Unbroken,2014,115.6,47.8,163.4
The Magnificent Seven (2016),2016,93.4,68.9,162.3
Jack Reacher: Never Go Back,2016,58.7,103.4,162.1
Insidious Chapter 2,2013,83.6,78.3,161.9
Flight,2012,93.8,68.0,161.8
